GOLD Annotated?	Index	Sentence	Entity	Character Offsets	GOLD Flat Grounding	GOLD Flat Grounding Score	GOLD Concept Grounding	GOLD Concept Score	GOLD Process Grounding	GOLD Process Score	GOLD Property Grounding	GOLD Property Score
	394	Washington: Prime Minister Meles Zenawi, long known for quoting lines from the dreaded 1994 Rwanda genocide, is feared his government may spark ethnic conflict to decimate the rising popularity of an eight-party coalition known as Medrek [Amharic for Forum, opposition Ethiopian Federal Democratic Unity Forum], a source has said.	his government	Interval(119, 133)	wm/concept/causal_factor/social_and_political/government/	1.0000002	wm_compositional/concept/causal_factor/social_and_political/government/	1.0000002	wm_compositional/process/economic/	0.6576553	None	None
	394	Washington: Prime Minister Meles Zenawi, long known for quoting lines from the dreaded 1994 Rwanda genocide, is feared his government may spark ethnic conflict to decimate the rising popularity of an eight-party coalition known as Medrek [Amharic for Forum, opposition Ethiopian Federal Democratic Unity Forum], a source has said.	ethnic conflict	Interval(144, 159)	wm/concept/causal_factor/social_and_political/conflict/	0.8618649	wm_compositional/concept/causal_factor/social_and_political/security/conflict/	1.0000001	wm_compositional/process/conflict/	1.0000001	None	None
	395	The country's draconian Information and Communications Act prescribes a 15-year jail term and a fine of 3 million dalasi ($77,000) for anyone using the internet to spread "false news", make "derogatory statements", "incite dissatisfaction", or "instigate violence against the government or public officials".	instigate violence against the government	Interval(245, 286)	wm/concept/causal_factor/social_and_political/conflict/hostility	0.8388591	wm_compositional/concept/causal_factor/social_and_political/security/conflict/hostility	0.5030135	None	None	None	None
	395	The country's draconian Information and Communications Act prescribes a 15-year jail term and a fine of 3 million dalasi ($77,000) for anyone using the internet to spread "false news", make "derogatory statements", "incite dissatisfaction", or "instigate violence against the government or public officials".	violence	Interval(255, 263)	wm/concept/causal_factor/social_and_political/conflict/hostility	0.7785967	wm_compositional/concept/causal_factor/intervention/provision of goods and services/health/sexual violence management	0.807945	wm_compositional/process/conflict/	0.67452973	None	None
	396	During interviews, the farmers had informed us that their lives are improving as a result of the recent Agricultural Growth Programme(AGP).	of the recent Agricultural Growth	Interval(90, 123)	wm/concept/causal_factor/economic_and_commerce/economic_activity/development	0.7871494	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/	0.64329344	wm_compositional/process/economic/	0.64329344	None	None
	396	During interviews, the farmers had informed us that their lives are improving as a result of the recent Agricultural Growth Programme(AGP).	improving as a result of the recent Agricultural Growth Programme	Interval(68, 133)	wm/concept/causal_factor/economic_and_commerce/economic_activity/development	0.80098236	wm_compositional/concept/causal_factor/intervention/provision of goods and services/provide hygiene tool	0.5631703	wm_compositional/process/management/development	0.56388813	None	None
	397	Ethiopia has joined the list of sub-Saharan countries that are keeping a close eye on the media and are trying to control or influence editorial policies.	are trying to control or influence editorial policies	Interval(100, 153)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/public_health_information_campaign	0.76462036	wm_compositional/concept/causal_factor/health_and_life/basic_needs	0.6498273	wm_compositional/process/migration/emigration	0.52048945	None	None
	397	Ethiopia has joined the list of sub-Saharan countries that are keeping a close eye on the media and are trying to control or influence editorial policies.	editorial policies	Interval(135, 153)	wm/concept/causal_factor/social_and_political/government/regulation	0.7559598	wm_compositional/concept/causal_factor/social_and_political/government/regulation	0.7569061	wm_compositional/process/economic/	0.61538327	None	None
	398	The onset of belg rains was timely in Southern Nations, Nationalities, and Peoples (SNNP) Region; however, Afar, eastern Amhara, central and eastern Oromiya, and eastern Tigray have experienced delayed and erratic rainfall, exacerbating drought conditions.	erratic rainfall	Interval(206, 222)	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.74988586	wm_compositional/concept/causal_factor/indicator_and_reported_property/weather/rainfall	1.0000001	wm_compositional/process/environment/erosion	0.5368698	None	None
	398	The onset of belg rains was timely in Southern Nations, Nationalities, and Peoples (SNNP) Region; however, Afar, eastern Amhara, central and eastern Oromiya, and eastern Tigray have experienced delayed and erratic rainfall, exacerbating drought conditions.	drought	Interval(237, 244)	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.9092204	wm_compositional/concept/causal_factor/environment/precipitation/drought	1.0000001	wm_compositional/process/environment/climate_change	0.56830245	None	None
	399	Sorghum price in Kadugli ( South Kordofan ) , have been highly volatile and decreased unseasonably by 30 percent between July and August due to the effects of local food aid distributions .	effects of local food aid distributions	Interval(148, 187)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/free_food_distribution	0.858851	wm_compositional/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm_compositional/process/economic/consumption	0.5035498	None	None
	400	Conflict continues to displace households , block returns of displaced persons , disrupt livelihoods , and restrict humanitarian assistance delivery , particularly in central Unity state .	Conflict	Interval(0, 8)	wm/concept/causal_factor/social_and_political/conflict/	1.0000001	wm_compositional/concept/causal_factor/social_and_political/security/conflict/	1.0000001	wm_compositional/process/conflict/	1.0000001	None	None
	400	Conflict continues to displace households , block returns of displaced persons , disrupt livelihoods , and restrict humanitarian assistance delivery , particularly in central Unity state .	livelihoods	Interval(89, 100)	wm/concept/causal_factor/economic_and_commerce/economic_activity/livelihood/	1.0000004	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/livelihood	0.6308247	wm_compositional/process/management/conservation	0.55293226	None	None
	401	"It'll indeed be the responsibility of us all to work, on the basis of collective leadership, to ensure the continued implementation of existing policies and strategies," Hailemariam told MPs.	collective leadership	Interval(71, 92)	wm/concept/causal_factor/social_and_political/	0.6952884	wm_compositional/concept/causal_factor/social_and_political/education/education	0.6440266	wm_compositional/process/economic/	0.53508574	None	None
	401	"It'll indeed be the responsibility of us all to work, on the basis of collective leadership, to ensure the continued implementation of existing policies and strategies," Hailemariam told MPs.	implementation	Interval(118, 132)	wm/concept/causal_factor/social_and_political/government/regulation	0.58176976	wm_compositional/concept/causal_factor/social_and_political/government/regulation	0.7569061	wm_compositional/process/management/	0.6184363	None	None
	402	The sectors whose strategies and implementation plans were endorsed include agriculture, livestock and fisheries, natural resources and environment protection, social development, regional economic cooperation and integration, peace and security, and gender affairs, it was indicated.	include agriculture, livestock and fisheries, natural resources and environment protection	Interval(68, 158)	wm/concept/causal_factor/environmental/resource_management	0.8513482	wm_compositional/concept/causal_factor/intervention/provision of goods and services/provide food	0.5377185	None	None	None	None
	402	The sectors whose strategies and implementation plans were endorsed include agriculture, livestock and fisheries, natural resources and environment protection, social development, regional economic cooperation and integration, peace and security, and gender affairs, it was indicated.	agriculture, livestock and fisheries, natural resources and environment protection	Interval(76, 158)	wm/concept/causal_factor/environmental/resource_management	0.8602076	wm_compositional/concept/causal_factor/intervention/institutional support/protection/	1.0000004	wm_compositional/process/environment/	1.0000001	None	None
	403	Substantial evidence, from both Africa and elsewhere, demonstrates that well-trained, properly supervised community health workers provide an excellent quality of care and improve the efficiency and impact of health spending.	improve the efficiency and impact of health spending	Interval(172, 224)	wm/concept/causal_factor/interventions/institutional_support/support_to_health_facilities	0.74571157	wm_compositional/concept/causal_factor/intervention/provision of goods and services/provide hygiene tool	0.60182315	wm_compositional/process/management/development	0.5440043	None	None
	403	Substantial evidence, from both Africa and elsewhere, demonstrates that well-trained, properly supervised community health workers provide an excellent quality of care and improve the efficiency and impact of health spending.	the efficiency and impact of health spending	Interval(180, 224)	wm/concept/causal_factor/health_and_life/	0.7446549	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/	0.6390533	wm_compositional/process/economic/	0.6390533	None	None
	404	Higher temperatures will reduce agricultural yields while changes in rainfall and extreme weather events will affect quantity and quality of crop and livestock production, reduce the availability of water for irrigation, and decrease soil fertility.52	Higher temperatures	Interval(0, 19)	wm/concept/causal_factor/environmental/meteorologic/temperature	0.75335217	wm_compositional/concept/causal_factor/environment/temperature	0.86628217	None	None	None	None
	404	Higher temperatures will reduce agricultural yields while changes in rainfall and extreme weather events will affect quantity and quality of crop and livestock production, reduce the availability of water for irrigation, and decrease soil fertility.52	agricultural yields while changes in rainfall and extreme weather events	Interval(32, 104)	wm/concept/causal_factor/environmental/meteorologic/weather	0.8378601	wm_compositional/concept/causal_factor/indicator_and_reported_property/agriculture/Crop Production	0.53234833	None	None	None	None
	405	Lawyers for some of the defendants said Meshal's lawsuit should be thrown out because of the sensitivity of national security operations outside the United States.	of the sensitivity of national security operations	Interval(86, 136)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/human_rights_monitoring_investigation_and_reporting	0.75431293	wm_compositional/concept/causal_factor/social_and_political/security/	1.0000002	wm_compositional/process/management/	0.5865965	wm_compositional/property/security	1.0
	405	Lawyers for some of the defendants said Meshal's lawsuit should be thrown out because of the sensitivity of national security operations outside the United States.	should be thrown out because of the sensitivity of national security operations outside the United States	Interval(57, 162)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/public_information_campaigns_on_explosive_hazards	0.7757172	None	None	None	None	None	None
	406	They believe they can do their best work raising money over here for the organization .	best work	Interval(31, 40)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/food_for_work	0.8140738	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/livelihood	0.66497755	wm_compositional/process/	0.5189234	None	None
	406	They believe they can do their best work raising money over here for the organization .	money	Interval(49, 54)	wm/concept/causal_factor/economic_and_commerce/economic_activity/currency	0.78183365	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/revenue	0.76545316	None	None	None	None
	407	A rural-to-urban , unmoored and growing population of mainly young men and women without productive activities to occupy them is an urgent problem that raises serious concerns about instability and conflict .	serious concerns about instability and conflict	Interval(159, 206)	wm/concept/causal_factor/social_and_political/conflict/	0.8347206	wm_compositional/concept/causal_factor/social_and_political/government/regulation	0.6394629	wm_compositional/process/economic/	0.5896913	None	None
	408	h) Promote coordination and development of institutions in Africa and the African Diaspora, dedicated to innovation and invention for social and economic development of Africa and the Diaspora;	Promote coordination and development of institutions in Africa and the African	Interval(3, 81)	wm/concept/causal_factor/economic_and_commerce/economic_activity/development	0.79055077	wm_compositional/concept/causal_factor/intervention/institutional support/	0.6855186	wm_compositional/process/economic/	0.5530008	None	None
	408	h) Promote coordination and development of institutions in Africa and the African Diaspora, dedicated to innovation and invention for social and economic development of Africa and the Diaspora;	coordination and development of institutions in Africa and the African	Interval(11, 81)	wm/concept/causal_factor/economic_and_commerce/economic_activity/development	0.7848571	wm_compositional/concept/causal_factor/intervention/institutional support/	0.6855186	wm_compositional/process/economic/	0.5530008	None	None
	409	"We've been working with LWF in the three camps in Dadaab for the last several years, " says McCully, "and this support will allow us to scale up and expand critical life saving assistance including food, water, shelter and other services."	critical life saving assistance including	Interval(157, 198)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/first_aid_and_and_basic_medical_care	0.8076172	wm_compositional/concept/causal_factor/health_and_life/	0.8623625	wm_compositional/process/migration/emigration	0.50208694	None	None
	409	"We've been working with LWF in the three camps in Dadaab for the last several years, " says McCully, "and this support will allow us to scale up and expand critical life saving assistance including food, water, shelter and other services."	critical life saving	Interval(157, 177)	wm/concept/causal_factor/health_and_life/	0.7955244	wm_compositional/concept/causal_factor/health_and_life/	0.8623625	wm_compositional/process/migration/emigration	0.50208694	None	None
	410	In a world where desertification is expanding, there cannot be development and comfort for mankind unless we are all engaged in the activities of proper utilization of water.	desertification	Interval(17, 32)	wm/concept/causal_factor/environmental/pollution/climate_change	0.93126386	wm_compositional/concept/causal_factor/environment/biodiversity	0.6101042	wm_compositional/process/environment/climate_change	0.93126386	None	None
	410	In a world where desertification is expanding, there cannot be development and comfort for mankind unless we are all engaged in the activities of proper utilization of water.	a world where desertification is expanding	Interval(3, 45)	wm/concept/causal_factor/health_and_life/basic_needs	0.70531875	wm_compositional/concept/causal_factor/health_and_life/	0.5749886	None	None	None	None
	411	The problem might persist for the coming six months, the PM pointed out, and the government would collaborate with the people to prevent the drought from causing serious damage to human and animal life.	the drought	Interval(137, 148)	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.9092204	wm_compositional/concept/causal_factor/environment/precipitation/drought	1.0000001	wm_compositional/process/environment/climate_change	0.56830245	None	None
	411	The problem might persist for the coming six months, the PM pointed out, and the government would collaborate with the people to prevent the drought from causing serious damage to human and animal life.	serious damage	Interval(162, 176)	wm/concept/causal_factor/health_and_life/death	0.6323704	wm_compositional/concept/causal_factor/health_and_life/	0.8623625	wm_compositional/process/conflict/attack	0.56380814	None	None
	412	Heavy rainfall and flooding in areas of Somalia have increased the risk of a potential outbreak of waterborne and vector-borne diseases, according to OCHA.	Heavy rainfall and flooding in areas of Somalia	Interval(0, 47)	wm/concept/causal_factor/environmental/meteorologic/precipitation/rainfall	0.8363768	wm_compositional/concept/causal_factor/environment/precipitation/flooding	0.77724826	wm_compositional/process/environment/erosion	0.55083275	None	None
	412	Heavy rainfall and flooding in areas of Somalia have increased the risk of a potential outbreak of waterborne and vector-borne diseases, according to OCHA.	the risk of a potential outbreak of waterborne and vector-borne diseases	Interval(63, 135)	wm/concept/causal_factor/health_and_life/disease/human_disease	0.8213605	wm_compositional/concept/causal_factor/health_and_life/disease/	0.90198445	wm_compositional/process/agriculture/failure	0.56929433	None	None
	413	Urbanization is associated with changes in dietary structure that lead to increased demand for cereals, which generally have higher labor requirements than roots and tubers and are more conducive to mechanization (Nin Pratt and McBride 2014).	Urbanization is associated with changes in dietary structure that lead to increased demand for cereals	Interval(0, 102)	wm/concept/causal_factor/trend	0.7919529	wm_compositional/concept/causal_factor/health_and_life/disease/	0.5485072	wm_compositional/process/agriculture/failure	0.5051911	None	None
	413	Urbanization is associated with changes in dietary structure that lead to increased demand for cereals, which generally have higher labor requirements than roots and tubers and are more conducive to mechanization (Nin Pratt and McBride 2014).	to increased demand	Interval(71, 90)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/demand/	0.90125734	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/labor_market	0.6713355	wm_compositional/process/economic/consumption	0.6010365	wm_compositional/property/demand	1.0
	414	the high price of imports from uganda and the united republic of tanzania, where exportable surpluses are lower than average due to reduced 2016 harvests, provided further support to prices.	to reduced 2016 harvests, provided further	Interval(129, 171)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/provision_of_water_for_livestock	0.7915939	wm_compositional/concept/causal_factor/intervention/provision of goods and services/provide cash	0.6761076	wm_compositional/process/access/access	0.5406946	None	None
	414	the high price of imports from uganda and the united republic of tanzania, where exportable surpluses are lower than average due to reduced 2016 harvests, provided further support to prices.	where exportable surpluses are lower than average due to reduced 2016 harvests, provided further	Interval(75, 171)	wm/concept/causal_factor/trend	0.77903146	wm_compositional/concept/causal_factor/intervention/provision of goods and services/provide cash	0.6761076	wm_compositional/process/access/access	0.5406946	None	None
	415	Basis risk arises due to an index ' s inadequacy to perfectly capture the individual losses of an insured farmer , which can be related to a number of factors .	Basis risk	Interval(0, 10)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/clinical_management_of_sexual_violence	0.71371746	wm_compositional/concept/causal_factor/health_and_life/death	0.63497585	wm_compositional/process/agriculture/failure	0.56929433	None	None
	416	Kenya is concerned that the Somali crisis could fuel terrorist activities and increase the influx of small arms into the country.	crisis	Interval(35, 41)	wm/concept/causal_factor/crisis_and_disaster/	0.9143274	wm_compositional/concept/causal_factor/crisis_and_disaster/crisis/	0.99999994	wm_compositional/process/economic/	0.7357197	None	None
	416	Kenya is concerned that the Somali crisis could fuel terrorist activities and increase the influx of small arms into the country.	concerned	Interval(9, 18)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/human_rights_monitoring_investigation_and_reporting	0.6636615	wm_compositional/concept/causal_factor/health_and_life/basic_needs	0.66333985	wm_compositional/process/economic/	0.5202271	None	None
	417	In Senegal , the Government reduced its level of institutional stocks for imported rice in order to promote purchases of local rice ( production was well above average in 2015/16 ) .	Government	Interval(17, 27)	wm/concept/causal_factor/social_and_political/government/	1.0000002	wm_compositional/concept/causal_factor/social_and_political/government/	1.0000002	wm_compositional/process/economic/	0.6576553	None	None
	417	In Senegal , the Government reduced its level of institutional stocks for imported rice in order to promote purchases of local rice ( production was well above average in 2015/16 ) .	purchases of local rice	Interval(108, 131)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/transaction/food_purchase	0.8324558	wm_compositional/concept/causal_factor/agriculture/crop	0.8312439	wm_compositional/process/economic/transaction	0.5543671	None	None
	418	What is the government role in markets, and what formal and informal policies affect market capacity to supply food?	informal policies	Interval(60, 77)	wm/concept/causal_factor/social_and_political/government/regulation	0.7606301	wm_compositional/concept/causal_factor/social_and_political/government/regulation	0.7569061	wm_compositional/process/economic/	0.61538327	None	None
	418	What is the government role in markets, and what formal and informal policies affect market capacity to supply food?	market	Interval(31, 37)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/	1.0000002	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/	0.8683015	wm_compositional/process/economic/	0.6246313	None	None
	419	Even more exciting than the carbon revenue is the income generated from the sale of fodder, forest fruits and eventually the selective harvest of wood products that contributes to household livelihoods and the local economy, and which will far exceed the carbon revenue."	the sale	Interval(72, 80)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/	0.5530568	wm_compositional/concept/causal_factor/environment/natural_resources/forest	0.8605963	wm_compositional/process/agriculture/harvesting	0.94100726	None	None
	419	Even more exciting than the carbon revenue is the income generated from the sale of fodder, forest fruits and eventually the selective harvest of wood products that contributes to household livelihoods and the local economy, and which will far exceed the carbon revenue."	the income	Interval(46, 56)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/revenue/farmer_income	0.86619836	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/revenue	0.87888277	wm_compositional/process/economic/depreciation	0.57280904	None	None
	420	Rather, low agricultural productivity that generated from rapid population increase, changing diets, and inadequate infrastructure are believed to make food security a constant threat in Africa.	increase, changing diets	Interval(75, 99)	wm/concept/causal_factor/trend	0.7848141	wm_compositional/concept/causal_factor/intervention/provision of goods and services/nutrition/	0.6699119	wm_compositional/process/migration/migration	0.5592834	None	None
	420	Rather, low agricultural productivity that generated from rapid population increase, changing diets, and inadequate infrastructure are believed to make food security a constant threat in Africa.	increase, changing	Interval(75, 93)	wm/concept/causal_factor/trend	0.8918436	wm_compositional/concept/causal_factor/health_and_life/basic_needs	0.5790382	wm_compositional/process/migration/migration	0.5592834	None	None
	421	The dilemma is made worse by the international humanitarian aid network already straining due to successive protracted global crises in the likes of Yemen, Somalia, Sudan and Nigeria.	to successive protracted global crises in the likes of Yemen, Somalia, Sudan and Nigeria	Interval(94, 182)	wm/concept/causal_factor/crisis_and_disaster/economic/economic_crisis	0.77329415	wm_compositional/concept/causal_factor/crisis_and_disaster/crisis/	0.83248764	wm_compositional/process/economic/	0.63940775	None	None
	421	The dilemma is made worse by the international humanitarian aid network already straining due to successive protracted global crises in the likes of Yemen, Somalia, Sudan and Nigeria.	by the international humanitarian aid network already straining due to successive protracted global crises in the likes of Yemen, Somalia, Sudan and Nigeria	Interval(26, 182)	wm/concept/causal_factor/social_and_political/conflict/tension	0.7714365	wm_compositional/concept/causal_factor/intervention/humanitarian assistance	0.7800777	wm_compositional/process/access/	0.5657453	None	None
	422	In East Africa, maize availability increased between August and September across most markets in Tanzania, Uganda, Kenya, western surplus-producing parts of Ethiopia and Somalia because of increased market supplies from the June-toAugust harvests, regional trade flows, and reduced local market demand from the ongoing green harvests.	most markets	Interval(81, 93)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/	0.85640556	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/	0.8683015	wm_compositional/process/economic/	0.6246313	None	None
	422	In East Africa, maize availability increased between August and September across most markets in Tanzania, Uganda, Kenya, western surplus-producing parts of Ethiopia and Somalia because of increased market supplies from the June-toAugust harvests, regional trade flows, and reduced local market demand from the ongoing green harvests.	demand	Interval(295, 301)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/demand/	1.0	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/	1.0000002	wm_compositional/process/economic/	0.5867855	wm_compositional/property/demand	1.0
	423	The World Economic Forum on Africa looks forward to welcoming this unique community of multistakeholders to engage and catalyse Africa's future growth and development.	Africa looks forward to welcoming this unique community of multistakeholders to engage and catalyse Africa's future growth and development	Interval(28, 166)	wm/concept/causal_factor/economic_and_commerce/economic_activity/development	0.74154294	None	None	None	None	None	None
	423	The World Economic Forum on Africa looks forward to welcoming this unique community of multistakeholders to engage and catalyse Africa's future growth and development.	Africa's future growth and development	Interval(128, 166)	wm/concept/causal_factor/economic_and_commerce/economic_activity/development	0.89155674	wm_compositional/concept/causal_factor/entity/organization	0.6279271	wm_compositional/process/management/development	1.0000004	None	None
	424	A key feature of the CSA is that the optimal future control decisions are programmed into the forward simulations , allowing the best decision accounting for all possible future changes in intervention policy to be taken , rather than simply recommending the control that is likely to be best if unchanged throughout the rest of the outbreak .	optimal future control decisions are programmed into the forward simulations	Interval(37, 113)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/vector_control	0.7752651	None	None	None	None	None	None
	424	A key feature of the CSA is that the optimal future control decisions are programmed into the forward simulations , allowing the best decision accounting for all possible future changes in intervention policy to be taken , rather than simply recommending the control that is likely to be best if unchanged throughout the rest of the outbreak .	simply recommending the control	Interval(235, 266)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/vector_control	0.7008217	None	None	None	None	None	None
	425	This grant will support community-centered activities that reduce deforestation and land-use based emissions, as well as enhance forest carbon stocks in deforestation hotspots in selected sites in 49 districts of Oromia.	This grant will support community-centered activities that reduce deforestation	Interval(0, 79)	wm/concept/causal_factor/interventions/institutional_support/support_to_health_facilities	0.72600883	wm_compositional/concept/causal_factor/intervention/institutional support/	0.81796104	None	None	None	None
	425	This grant will support community-centered activities that reduce deforestation and land-use based emissions, as well as enhance forest carbon stocks in deforestation hotspots in selected sites in 49 districts of Oromia.	deforestation	Interval(66, 79)	wm/concept/causal_factor/environmental/pollution/climate_change	0.9312639	wm_compositional/concept/causal_factor/environment/biodiversity	0.6676686	wm_compositional/process/environment/climate_change	0.9312639	None	None
	426	Increased fuel and input costs , coupled with stronger subregional import demand due to the weak local currency , added to the upward pressure .	weak local currency	Interval(92, 111)	wm/concept/causal_factor/economic_and_commerce/economic_activity/currency	0.7872353	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/currency	0.8355115	wm_compositional/process/economic/devaluation	0.6085336	None	None
	426	Increased fuel and input costs , coupled with stronger subregional import demand due to the weak local currency , added to the upward pressure .	stronger subregional import demand	Interval(46, 80)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/demand/	0.7227498	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/labor_market	0.6713355	wm_compositional/process/economic/import	1.0	wm_compositional/property/demand	1.0
	427	The IDF decided to launch the operation due to the great danger posed to the Ethiopian Jewish community, given the high political instability in the nation at the time and the risk of Eritrean rebels seizing control.	the great danger	Interval(47, 63)	wm/concept/causal_factor/interventions/information_services/food_security_or_famine_early_warning_system	0.6557105	wm_compositional/concept/causal_factor/social_and_political/security/physical_insecurity	0.6075265	wm_compositional/process/migration/emigration	0.5229329	None	None
	427	The IDF decided to launch the operation due to the great danger posed to the Ethiopian Jewish community, given the high political instability in the nation at the time and the risk of Eritrean rebels seizing control.	the operation	Interval(26, 39)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/locust_control_operation	0.73779976	wm_compositional/concept/causal_factor/social_and_political/humanitarian/basic_services	0.50670475	wm_compositional/process/	0.5481379	None	None
	428	In line with the national Refugee Shelter Strategy, shelter experts from UNHCR and ARRA are working on the development of technical guidelines to support the implementation of the strategy across the country.	the development	Interval(103, 118)	wm/concept/causal_factor/economic_and_commerce/economic_activity/development	0.9328667	wm_compositional/concept/causal_factor/entity/organization	0.6279271	wm_compositional/process/management/development	1.0000004	None	None
	428	In line with the national Refugee Shelter Strategy, shelter experts from UNHCR and ARRA are working on the development of technical guidelines to support the implementation of the strategy across the country.	the implementation	Interval(154, 172)	wm/concept/causal_factor/social_and_political/government/regulation	0.58176976	wm_compositional/concept/causal_factor/infrastructure/	0.59147805	wm_compositional/process/management/development	0.6008238	None	None
	429	The agency 's immediate focus is increasing food aid and water trucking , and is also training community-based health workers to treat malnutrition , intervening to save livestock and crops where possible , and supporting families that have lost their livestock and livelihoods with cash-for-work programs .	crops	Interval(184, 189)	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/crop_failure	0.8691487	wm_compositional/concept/causal_factor/indicator_and_reported_property/agriculture/Crop Production	0.8440721	wm_compositional/process/agriculture/	0.7061723	None	None
	430	By enhancing connectivity and economic development through infrastructure development and other productive sectors, Asian Infrastructure Investment Bank aspires to help stimulate growth and improve access to basic services in the region.	improve access to basic services in the region	Interval(190, 236)	wm/concept/causal_factor/social_and_political/basic_services	0.89334404	wm_compositional/concept/causal_factor/intervention/provision of goods and services/provide hygiene tool	0.60182315	wm_compositional/process/management/development	0.5440043	None	None
	430	By enhancing connectivity and economic development through infrastructure development and other productive sectors, Asian Infrastructure Investment Bank aspires to help stimulate growth and improve access to basic services in the region.	access to basic services in the region	Interval(198, 236)	wm/concept/causal_factor/social_and_political/basic_services	0.9096952	wm_compositional/concept/causal_factor/intervention/provision of goods and services/provide veterinary service	0.807213	wm_compositional/process/access/	0.9999998	None	None
	431	The AUEOM therefore draws the attention of the Ethiopian authorities to tobservers as stipulated in part IV of the OAU/AU Declaration on the Principles Governing Democratic Elections and Article 80(1) of the Proclamation 532/2007.	Declaration on the Principles Governing Democratic Elections	Interval(122, 182)	wm/concept/causal_factor/social_and_political/political/independence	0.73688924	None	None	None	None	None	None
	431	The AUEOM therefore draws the attention of the Ethiopian authorities to tobservers as stipulated in part IV of the OAU/AU Declaration on the Principles Governing Democratic Elections and Article 80(1) of the Proclamation 532/2007.	Democratic Elections	Interval(162, 182)	wm/concept/causal_factor/social_and_political/political/	0.7966948	wm_compositional/concept/causal_factor/social_and_political/political/	0.6792488	None	None	None	None
	432	Armed conflict , political instability and natural disasters played a key part in eroding the lifestyles and well-being of mothers and children in the world 's poorest countries , according to Save the Children 's 15th annual State of the World 's Mothers report .	natural disasters	Interval(43, 60)	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/	0.99999946	wm_compositional/concept/causal_factor/crisis_and_disaster/	0.77482414	wm_compositional/process/economic/	0.5066921	None	None
	433	The downward trend in prices of local rice is driven mostly by increased supplies from the recently-completed 2014 harvests combined with subdued demand due to the impact of Ebola Virus Disease (EVD) on economic activities and income.	supplies	Interval(73, 81)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/supply/	0.81217253	wm_compositional/concept/causal_factor/social_and_political/education/educational_materials	0.66259336	wm_compositional/process/economic/consumption	0.6010365	None	None
	433	The downward trend in prices of local rice is driven mostly by increased supplies from the recently-completed 2014 harvests combined with subdued demand due to the impact of Ebola Virus Disease (EVD) on economic activities and income.	The downward trend	Interval(0, 18)	wm/concept/causal_factor/trend	0.75525427	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/	0.5726625	None	None	wm_compositional/property/trend	1.0
	434	For most of Africa, economic development, urbanisation and food security have traditionally been linked by a strong but delicate bond, with poor management of national resources threatening to destroy this balance.	poor management	Interval(140, 155)	wm/concept/causal_factor/economic_and_commerce/poverty	0.73912233	wm_compositional/concept/causal_factor/environment/natural_resources/	0.76554215	wm_compositional/process/management/	1.0000001	None	None
	434	For most of Africa, economic development, urbanisation and food security have traditionally been linked by a strong but delicate bond, with poor management of national resources threatening to destroy this balance.	destroy	Interval(193, 200)	wm/concept/causal_factor/social_and_political/conflict/strike	0.7079306	wm_compositional/concept/causal_factor/social_and_political/security/conflict/war	0.69719565	wm_compositional/process/conflict/attack	0.58530515	None	None
