GOLD Annotated?	Index	Sentence	Entity	Character Offsets	Cause/Effect	GOLD Flat Grounding	GOLD Flat Grounding Score	GOLD Concept Grounding	GOLD Concept Score	GOLD Process Grounding	GOLD Process Score	GOLD Property Grounding	GOLD Property Score	Notes	Total annotated:	80
	457	Unfortunately, the successful accomplishment of the targets set out in the plan and accelerate the country's rapid growth has been beset by poor service delivery and the inexorable rise in the cost of living as described hereunder.	the country's rapid growth	(95,121)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/development	0.7317026	wm/concept/causal_factor/economic_and_commerce/economic_activity/	0.64329344	wm/process/economic/	0.64329344	None	None			
	458	Birhan became a symbol of Ethiopia's 1984 famine after being filmed at the age of three suffering from starvation.	starvation	(103,113)	cause	wm/concept/causal_factor/crisis_and_disaster/famine	0.7480021	wm/concept/causal_factor/condition/famine	0.9028115	None	None	None	None			
	458	Birhan became a symbol of Ethiopia's 1984 famine after being filmed at the age of three suffering from starvation.	suffering	(88,97)	effect	wm/concept/causal_factor/crisis_and_disaster/famine	0.6369148	wm/concept/causal_factor/health_and_life/death	0.67110103	wm/process/agriculture/failure	0.5129499	None	None			
	459	She adds : `` The protests have significantly undermined the ruling coalition and genuine stability will take years to recover .	protests	(18,26)	cause	wm/concept/causal_factor/social_and_political/conflict/demonstrate	0.7964454	wm/concept/causal_factor/social_and_political/conflict/demonstrate	0.79567367	None	None	None	None			
	459	She adds : `` The protests have significantly undermined the ruling coalition and genuine stability will take years to recover .	ruling coalition and genuine stability will take	(61,109)	effect	wm/concept/causal_factor/social_and_political/political/political_instability	0.72387666	wm/concept/causal_factor/health_and_life/basic_needs	0.66070926	wm/process/migration/immigration	0.59007865	None	None			
	460	The statement said IGAD is concerned by the decision of President Kiir's government to implement the order.	the decision	(40,52)	cause	wm/concept/causal_factor/social_and_political/government/regulation	0.57724386	wm/concept/causal_factor/social_and_political/government/	1.0000002	wm/process/economic/	0.6576553	None	None			
	460	The statement said IGAD is concerned by the decision of President Kiir's government to implement the order.	concerned	(27,36)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/human_rights_monitoring_investigation_and_reporting	0.6636615	wm/concept/causal_factor/health_and_life/basic_needs	0.66333985	wm/process/economic/	0.5202271	None	None			
	461	When the economy grows the insurance industry will grow with it.	the insurance	(23,36)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/revenue/household_income	0.6193775	wm/concept/causal_factor/intervention/provision of goods and services/health/	0.61468357	None	None	None	None			
	461	When the economy grows the insurance industry will grow with it.	grow	(17,21)	effect	wm/concept/causal_factor/agriculture/planting	0.5628953	None	None	None	None	None	None			
	462	Is Ethiopia an Apartheid system because it is a federation?	Is Ethiopia an Apartheid system because it is a	(0,47)	cause	wm/concept/causal_factor/interventions/information_services/food_security_or_famine_early_warning_system	0.7097935	wm/concept/causal_factor/intervention/provision of goods and services/provide farming tool	0.5519703	wm/process/management/	0.5494599	None	None			
	462	Is Ethiopia an Apartheid system because it is a federation?	Is Ethiopia an Apartheid system because it is a	(0,47)	effect	wm/concept/causal_factor/interventions/information_services/food_security_or_famine_early_warning_system	0.7097935	wm/concept/causal_factor/intervention/provision of goods and services/provide farming tool	0.5519703	wm/process/management/	0.5494599	None	None			
	463	Second, the existence of informal and parallel markets within the economy, in which a significant proportion of the country's income is channelled and circulated within the informal sector, is another factor that exacerbates foreign currency shortage.	another factor that exacerbates foreign currency shortage	(193,250)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/currency	0.7367949	None	None	None	None	None	None			
	463	Second, the existence of informal and parallel markets within the economy, in which a significant proportion of the country's income is channelled and circulated within the informal sector, is another factor that exacerbates foreign currency shortage.	foreign currency shortage	(225,250)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/currency	0.82147884	wm/concept/causal_factor/economic_and_commerce/economic_activity/currency	0.8355115	wm/process/access/shortage	1.0000002	None	None			
	464	No-till Farming System: 253-278.	till Farming System: 253-278	(3,31)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/livelihood/farming	0.7898587	wm/concept/causal_factor/agriculture/	0.7982289	wm/process/agriculture/	0.7982289	None	None			
	464	No-till Farming System: 253-278.	Farming System	(8,22)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/livelihood/farming	0.7898587	wm/concept/causal_factor/agriculture/	0.7982289	wm/process/agriculture/	0.7982289	None	None			
	465	In April, a government-sanctioned investigation said 669 people had been killed during one period in the violence and more than 29,000 people arrested	the violence	(101,113)	cause	wm/concept/causal_factor/social_and_political/conflict/hostility	0.7785967	wm/concept/causal_factor/intervention/provision of goods and services/health/sexual violence management	0.807945	wm/process/conflict/	0.67452973	None	None			
	465	In April, a government-sanctioned investigation said 669 people had been killed during one period in the violence and more than 29,000 people arrested	killed	(73,79)	effect	wm/concept/causal_factor/social_and_political/conflict/attack	0.6860429	wm/concept/causal_factor/social_and_political/conflict/war	0.5853507	wm/process/conflict/attack	0.5902994	None	None			
	466	He said: "The strongest thing that I saw was mothers bringing their children in and getting an arm measurement.	mothers bringing their children in and getting an arm measurement	(45,110)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/infant_and_young_child_feeding_support	0.7994034	wm/concept/causal_factor/health_and_life/treatment/prenatal_care	0.59463763	None	None	None	None			
	466	He said: "The strongest thing that I saw was mothers bringing their children in and getting an arm measurement.	their children	(62,76)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/infant_and_young_child_feeding_support	0.79338837	wm/concept/causal_factor/intervention/provision of goods and services/education/child friendly learning spaces	0.678025	None	None	None	None			
	467	Somalia has requested help in rebuilding its institutions because the new government is setting up a federation, which is the governing system also used by Ethiopia.	the new government is setting up a	(66,100)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/public_health_information_campaign	0.72682005	wm/concept/causal_factor/environmental/	0.542817	wm/process/environment/	0.542817	None	None			
	467	Somalia has requested help in rebuilding its institutions because the new government is setting up a federation, which is the governing system also used by Ethiopia.	requested help in rebuilding its institutions because the new government is setting up a	(12,100)	effect	wm/concept/causal_factor/health_and_life/basic_needs	0.785739	None	None	None	None	None	None			
	468	However , for cases already underway on April 21 , we ask your government to help these children join their adoptive parents by allowing their adoption cases to continue moving forward .	government	(63,73)	cause	wm/concept/causal_factor/social_and_political/government/	1.0000002	wm/concept/causal_factor/social_and_political/government/	1.0000002	wm/process/economic/	0.6576553	None	None			
	468	However , for cases already underway on April 21 , we ask your government to help these children join their adoptive parents by allowing their adoption cases to continue moving forward .	children join their adoptive parents by allowing their adoption cases to continue moving forward	(88,184)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/family_reunification_of_separated_children	0.8003636	wm/concept/causal_factor/entity/person_and_group/	0.5086567	None	None	None	None			
	469	The outlook for key food crops across the African continent under climate change is mostly negative and indicates that low productivity , together with increasing global demand , will likely drive up food prices ( Jalloh et al. 2013 ; Waithaka et al. 2013 ; Hachigonta et al. 2013 ) .	outlook for key food crops across the African continent under climate change is mostly negative and indicates	(4,113)	cause	wm/concept/causal_factor/interventions/information_services/food_security_or_famine_early_warning_system	0.75723076	None	None	None	None	None	None			
	469	The outlook for key food crops across the African continent under climate change is mostly negative and indicates that low productivity , together with increasing global demand , will likely drive up food prices ( Jalloh et al. 2013 ; Waithaka et al. 2013 ; Hachigonta et al. 2013 ) .	food prices	(200,211)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/food_price	0.9481106	wm/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm/process/economic/consumption	0.5035498	wm/property/price	1.0			
	470	Welcoming the progress made by Member States in deepening and consolidating the democratic culture and practice through the holding of periodic credible elections , the Council noted that in that way they prevent conflicts and promote sustainable peace , security , stability and development in their countries .	conflicts	(213,222)	effect	wm/concept/causal_factor/social_and_political/conflict/	1.0000001	wm/concept/causal_factor/social_and_political/conflict/	0.8895148	wm/process/conflict/	0.8895148	None	None			
	471	According to the global 2014 Human Development Report , countries in sub-Saharan Africa need to intensify their battle against deprivation and prevent crises from setting back recent development advances .	countries in sub-Saharan Africa need	(56,92)	cause	wm/concept/causal_factor/health_and_life/basic_needs	0.7174944	wm/concept/causal_factor/health_and_life/basic_needs	0.9081833	wm/process/migration/immigration	0.5804751	None	None			
	471	According to the global 2014 Human Development Report , countries in sub-Saharan Africa need to intensify their battle against deprivation and prevent crises from setting back recent development advances .	battle	(112,118)	effect	wm/concept/causal_factor/social_and_political/conflict/attack	0.7385301	wm/concept/causal_factor/social_and_political/conflict/war	0.69815236	wm/process/conflict/attack	0.572159	None	None			
	472	The announcement came amid Ethiopia 's battle with the ongoing drought that hits parts of the east African country affecting 7.8 million Ethiopians in need of emergency food aid .	the ongoing drought	(51,70)	cause	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.7620509	wm/concept/causal_factor/environmental/precipitation/drought	1.0000001	wm/process/environment/climate_change	0.56830245	None	None			
	472	The announcement came amid Ethiopia 's battle with the ongoing drought that hits parts of the east African country affecting 7.8 million Ethiopians in need of emergency food aid .	need	(151,155)	effect	wm/concept/causal_factor/health_and_life/basic_needs	0.9081833	wm/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm/process/evacuation	0.6465521	None	None			
	473	Hundreds of thousands of refugees are fleeing the region due to few economic opportunities, political persecution, and ecological stress.	to few economic opportunities, political persecution, and ecological stress	(61,136)	cause	wm/concept/causal_factor/social_and_political/conflict/tension	0.85543114	wm/concept/causal_factor/condition/tension	0.61639476	None	None	None	None			
	473	Hundreds of thousands of refugees are fleeing the region due to few economic opportunities, political persecution, and ecological stress.	Hundreds of thousands of refugees are fleeing the region due to few economic opportunities, political persecution, and ecological stress	(0,136)	effect	wm/concept/causal_factor/social_and_political/conflict/tension	0.8053757	wm/concept/causal_factor/social_and_political/conflict/hostility	0.5308423	wm/process/migration/emigration	0.6008676	None	None			
	474	Staple food prices increased atypically in Sudan during the harvest due to deteriorating economic conditions.	the harvest	(56,67)	cause	wm/concept/time/temporal/crop_season	0.7089591	wm/concept/causal_factor/time/temporal/crop_season	0.7089591	wm/process/agriculture/harvesting	0.94100726	None	None			
	474	Staple food prices increased atypically in Sudan during the harvest due to deteriorating economic conditions.	prices	(12,18)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/	0.9282232	wm/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm/process/economic/consumption	0.5035498	wm/property/price	1.0			
	475	In Borana , this is also leading to increased competition and conflicts over pasture and water resources .	increased competition and conflicts over pasture and water resources	(36,104)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/provision_of_water_for_livestock	0.78902906	wm/concept/causal_factor/social_and_political/conflict/	0.8895148	wm/process/conflict/	0.8895148	None	None			
	476	This calls for institutions to have an educated workforce , an adequate budget , the latest technology and enabling legal frameworks .	legal frameworks	(116,132)	effect	wm/concept/causal_factor/social_and_political/government/regulation	0.7441219	None	None	None	None	None	None			
	477	The Assembly also mandated the African Union Commission, the NEPAD Agency, in collaboration with UNECA, AfDB, UNDP and other relevant Organizations operating in the social sector to support the activities of the HLC," she indicated.	other relevant Organizations operating in the social sector	(119,178)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/public_health_information_campaign	0.7598296	wm/concept/causal_factor/intervention/institutional support/	0.6468155	None	None	None	None			
	477	The Assembly also mandated the African Union Commission, the NEPAD Agency, in collaboration with UNECA, AfDB, UNDP and other relevant Organizations operating in the social sector to support the activities of the HLC," she indicated.	the social sector	(161,178)	effect	wm/concept/causal_factor/social_and_political/	0.79897344	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/labor_market	0.6699614	wm/process/economic/	0.65111804	None	None			
	478	We hope this guidance will clarify that aid workers who are partnering with the U.S. Government to help save lives under difficult and dangerous conditions are not in conflict with U.S. laws and regulations that seek to limit the resources or to eliminate resources flowing to al-Shabaab .	U.S. laws	(181,190)	cause	wm/concept/causal_factor/social_and_political/government/regulation	0.795098	wm/concept/causal_factor/social_and_political/government/regulation	0.79443043	wm/process/migration/immigration	0.5617066	None	None			
	478	We hope this guidance will clarify that aid workers who are partnering with the U.S. Government to help save lives under difficult and dangerous conditions are not in conflict with U.S. laws and regulations that seek to limit the resources or to eliminate resources flowing to al-Shabaab .	resources	(230,239)	effect	wm/concept/causal_factor/environmental/natural_resources/	0.833753	wm/concept/causal_factor/environmental/natural_resources/	0.76554215	wm/process/management/	0.556204	None	None			
	479	Although the MABR technology is already on the market, Emefcy is also developing an Electrogenic Bio Reactor, which the company says will not only be capable of saving energy but will also produce power.	will not only be capable of saving energy but will also produce power	(133,202)	cause	wm/concept/causal_factor/access/infrastructure_access/electrical	0.75322944	wm/concept/causal_factor/intervention/provision of goods and services/provide food	0.59402025	None	None	None	None			
	479	Although the MABR technology is already on the market, Emefcy is also developing an Electrogenic Bio Reactor, which the company says will not only be capable of saving energy but will also produce power.	energy	(168,174)	effect	wm/concept/causal_factor/access/infrastructure_access/electrical	0.71658194	wm/concept/causal_factor/infrastructure/electrical	0.78012383	wm/process/economic/consumption	0.5465106	None	None			
	480	Due to security restrictions to some affected areas, researchers could not establish the full scale of abuse.	to security restrictions to some affected areas	(4,51)	cause	wm/concept/causal_factor/interventions/information_services/food_security_or_famine_early_warning_system	0.71404153	wm/concept/causal_factor/social_and_political/	1.0000002	wm/process/access/access	0.5378964	wm/property/security	1.0			
	480	Due to security restrictions to some affected areas, researchers could not establish the full scale of abuse.	Due to security restrictions to some affected areas, researchers could not establish the full scale of abuse	(0,108)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/human_rights_monitoring_investigation_and_reporting	0.8160376	wm/concept/causal_factor/entity/government_entity	0.6232527	wm/process/agriculture/cultivating	0.50854546	None	None			
	481	Additional border crossings and long distances from the market substantially increase the total expenses for the transport services .	Additional border crossings and long distances from the market	(0,62)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/	0.79223233	None	None	None	None	None	None			
	481	Additional border crossings and long distances from the market substantially increase the total expenses for the transport services .	total expenses for the transport services	(90,131)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/cost_of_transportation	0.7810784	wm/concept/causal_factor/intervention/provision of goods and services/provide veterinary service	0.807213	wm/process/transportation/	0.72635645	None	None			
	482	Next to large-scale projects such as the two major hydro power investments, or capital intensive projects such as the development of a high speed train to facilitate import and export, impact investors with their longer-term investment outlook and desire to achieve both financial and social returnshave the potential to play a benign role in the investment landscape.	power investments, or capital	(57,86)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/assets	0.7153413	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/assets	0.7058995	wm/process/economic/	0.5903634	None	None			
	482	Next to large-scale projects such as the two major hydro power investments, or capital intensive projects such as the development of a high speed train to facilitate import and export, impact investors with their longer-term investment outlook and desire to achieve both financial and social returnshave the potential to play a benign role in the investment landscape.	investments, or capital	(63,86)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/assets	0.7389081	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/assets	0.7058995	wm/process/economic/	0.5903634	None	None			
	483	In Nigeria, the depreciation of the Naira (NGN), official and unofficial restrictions on trade, and the ongoing conflict in the northeast continues to disrupt domestic and cross border staple food, cash crop, and livestock markets (Figure 5).	the ongoing conflict	(100,120)	cause	wm/concept/causal_factor/social_and_political/conflict/	0.89070296	wm/concept/causal_factor/social_and_political/conflict/	1.0000001	wm/process/conflict/	1.0000001	None	None			
	483	In Nigeria, the depreciation of the Naira (NGN), official and unofficial restrictions on trade, and the ongoing conflict in the northeast continues to disrupt domestic and cross border staple food, cash crop, and livestock markets (Figure 5).	markets	(223,230)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/	1.0000002	wm/concept/causal_factor/agriculture/livestock	0.90724725	wm/process/agriculture/	0.6849187	None	None			
	484	DFID 's financial support to the Odisha government for the health and nutrition sector was substantial - 99 million UK pounds over an eight year period between 2008 and 2015 , The model of spending included direct budget support to the Odisha government as well as funding to a technical support unit that worked closely with the government ( Department for International Development , n.d ) Civil Society and NGOs in the state have also been credited with raising people 's awareness about health and nutrition program guidelines and for having conducted social audits of ICDS that have been helpful to the state .	funding to a technical support unit	(265,300)	cause	wm/concept/causal_factor/interventions/institutional_support/	0.8171039	wm/concept/causal_factor/intervention/institutional support/	0.81796104	wm/process/economic/	0.51801515	None	None			
	485	The increment of the production is due to suitable weather conditions, active participation of farmers, and use of modern agricultural systems and machineries including combiners at large, it was noted.	to suitable weather conditions	(39,69)	cause	wm/concept/causal_factor/environmental/meteorologic/weather	0.7485956	wm/concept/causal_factor/indicator_and_reported_property/weather/	1.0000001	wm/process/environment/	0.5493018	None	None			
	485	The increment of the production is due to suitable weather conditions, active participation of farmers, and use of modern agricultural systems and machineries including combiners at large, it was noted.	The increment of the production is due to suitable weather conditions	(0,69)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/point_of_use_water_treatment_at_household_level	0.7126848	wm/concept/causal_factor/indicator_and_reported_property/weather/	1.0000001	wm/process/agriculture/	0.7141152	None	None			
	486	Despite general low production, joint investment ventures and power sharing are set to boost supply in Burundi and Rwanda, while Kenya, Tanzania and South Sudan are anticipating integration into the Ethiopian grid.	general low production	(8,30)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/point_of_use_water_treatment_at_household_level	0.6968166	None	None	wm/process/management/development	0.5152629	None	None			
	486	Despite general low production, joint investment ventures and power sharing are set to boost supply in Burundi and Rwanda, while Kenya, Tanzania and South Sudan are anticipating integration into the Ethiopian grid.	supply	(93,99)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/supply/	1.0	wm/concept/causal_factor/intervention/provision of goods and services/provide food	0.61419916	wm/process/management/storage	0.5279406	wm/property/supply	1.0			
	487	I assume most of you are aware that this is the worst El Nino in history, and it has affected the African continent, in fact the whole world, but the African continent in particular, no country more dramatically than Ethiopia, where 11 million people are in need of assistance because of the impact of what is a very severe drought.	the impact	(288,298)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/public_information_campaigns_on_explosive_hazards	0.7112879	wm/concept/causal_factor/economic_and_commerce/economic_activity/	0.6390533	wm/process/economic/	0.6390533	None	None			
	487	I assume most of you are aware that this is the worst El Nino in history, and it has affected the African continent, in fact the whole world, but the African continent in particular, no country more dramatically than Ethiopia, where 11 million people are in need of assistance because of the impact of what is a very severe drought.	assistance	(266,276)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/legal_aid_for_displaced_persons	0.7520787	wm/concept/causal_factor/intervention/humanitarian assistance	0.7837395	wm/process/access/access	0.5246534	None	None			
	488	In order to get an impression of promisin g options and possible constraints, with the help of the policy dialogue model PODIUM, this paper analyses the development of water management scenarios to improve food production in the region.	improve food production in the region	(198,235)	cause	wm/concept/causal_factor/food_security/food_utilization	0.8502236	wm/concept/causal_factor/intervention/provision of goods and services/provide hygiene tool	0.60182315	wm/process/management/development	0.5440043	None	None			
	488	In order to get an impression of promisin g options and possible constraints, with the help of the policy dialogue model PODIUM, this paper analyses the development of water management scenarios to improve food production in the region.	food production	(206,221)	effect	wm/concept/causal_factor/health_and_life/nutrition/food_intake	1.0000001	wm/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm/process/management/development	0.5152629	None	None			
	489	My family made me marry him, because I was no longer pure.	My family made me marry him, because I was no longer pure.	(0,58)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/family_reunification_of_separated_children	0.73225117	wm/concept/causal_factor/infrastructure/construction_materials	0.5265348	None	None	None	None			
	489	My family made me marry him, because I was no longer pure.	My family made me marry him, because I was no longer pure	(0,57)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/family_reunification_of_separated_children	0.73225117	wm/concept/causal_factor/infrastructure/construction_materials	0.5265348	None	None	None	None			
	490	Due to the problem of unavailability of any official document to indicate children ' s birth date , the ages for the great majority of the sample children were determined using the local event calendar .	ages for the great majority of the sample children were determined using the local event calendar	(104,201)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/child_friendly_learning_spaces	0.77465165	wm/concept/causal_factor/intervention/institutional support/protection/capacity building human right	0.51971054	None	None	None	None			
	491	Such a deliberate policy by the UNHCR opens the gates of illegal migration of the youth from Eritrea and Ethiopia.	Such a deliberate policy by the UNHCR	(0,37)	cause	wm/concept/causal_factor/social_and_political/government/regulation	0.76168126	wm/concept/causal_factor/social_and_political/government/regulation	0.79189914	wm/process/economic/	0.63162696	None	None			
	491	Such a deliberate policy by the UNHCR opens the gates of illegal migration of the youth from Eritrea and Ethiopia.	the gates of illegal migration of the youth from Eritrea and Ethiopia	(44,113)	effect	wm/concept/causal_factor/social_and_political/migration/human_migration	0.7112775	wm/concept/causal_factor/entity/person_and_group/migration/	1.0	wm/process/migration/	1.0	None	None			
	492	Education is an important measure of human capital due to its importance to secure employment and skills for managing scarce resources (Saenz and Morales 2005).	to its importance	(55,72)	cause	wm/concept/causal_factor/interventions/institutional_support/capacity_building_of_national_authorities_on_human_rights	0.7578874	wm/concept/causal_factor/health_and_life/basic_needs	0.6067064	wm/process/management/conservation	0.5475485	None	None			
	492	Education is an important measure of human capital due to its importance to secure employment and skills for managing scarce resources (Saenz and Morales 2005).	Education is an important measure of human capital due to its importance to secure employment and skills for managing scarce resources	(0,134)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/provision_of_credit_and_training_for_income_generation	0.8385951	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/assets	0.6032305	wm/process/economic/	0.5594524	None	None			
	493	See Table 4.6 ( change in wheat supply due to imports ) .	imports	(46,53)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/import/	1.0	wm/concept/causal_factor/economic_and_commerce/economic_activity/goods	0.53268915	wm/process/economic/export	0.78688836	None	None			
	493	See Table 4.6 ( change in wheat supply due to imports ) .	wheat supply	(26,38)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/supply/food_supply	0.8626776	wm/concept/causal_factor/agriculture/crop	0.8307437	wm/process/management/storage	0.5279406	wm/property/supply	1.0			
	494	In addition to drought , populations across Ethiopia confront other challenges -- including seasonal flooding , localized intercommunal conflict , above-average food prices , disease outbreaks , and limited access to health and WASH services -- that contribute to sustained humanitarian needs and an ongoing complex emergency .	ongoing complex emergency	(300,325)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/assessment_and_triage_of_health_facilities	0.7540382	wm/concept/causal_factor/crisis_and_disaster/crisis/crisis	0.763657	wm/process/evacuation	0.6465521	None	None			
	495	It said the Sudanese government attributed this to practical reasons and was not taking sides .	practical reasons	(51,68)	cause	wm/concept/causal_factor/health_and_life/basic_needs	0.75029933	wm/concept/causal_factor/health_and_life/basic_needs	0.6376848	wm/process/migration/immigration	0.5522091	None	None			
	495	It said the Sudanese government attributed this to practical reasons and was not taking sides .	Sudanese government	(12,31)	effect	wm/concept/causal_factor/social_and_political/government/	0.73062986	wm/concept/causal_factor/social_and_political/government/	1.0000002	wm/process/economic/	0.6576553	None	None			
	496	One local resident said calm appears to have been restored to the town which was heavily affected by the protests, However the arrests and repression under the state of emergency continue, he said.	by the protests	(98,113)	cause	wm/concept/causal_factor/social_and_political/conflict/demonstrate	0.7964454	wm/concept/causal_factor/social_and_political/conflict/demonstrate	0.79567367	None	None	None	None			
	496	One local resident said calm appears to have been restored to the town which was heavily affected by the protests, However the arrests and repression under the state of emergency continue, he said.	the town which was heavily affected by the protests	(62,113)	effect	wm/concept/causal_factor/social_and_political/conflict/demonstrate	0.7355245	wm/concept/causal_factor/entity/person_and_group/community	0.6096166	None	None	None	None			
	497	While drought remains a major contributor to vulnerability in Ethiopia , negatively affecting the lives and livelihoods of farmers and pastoralists , populations also continue to confront other challenges -- including seasonal flooding , localized intercommunal conflict , above-average food prices , disease outbreaks , and limited access to health and WASH services -- that contribute to sustained humanitarian needs and an ongoing complex emergency in Ethiopia .	ongoing complex emergency in Ethiopia	(426,463)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/assessment_and_triage_of_health_facilities	0.7540382	wm/concept/causal_factor/crisis_and_disaster/crisis/crisis	0.763657	wm/process/evacuation	0.6465521	None	None			
	498	Rodriguez warned of the difficulties that humanitarian actors are experiencing in accessing certain areas of the Horn of Africa -"from the south of Somalia there is no real information because you can't gain access", she pointed out-, and of the need to open humanitarian corridors which would allow aid to arrive.	you can't gain access	(193,214)	cause	wm/concept/causal_factor/access/	0.8248479	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/revenue	0.5990219	None	None	None	None			
	498	Rodriguez warned of the difficulties that humanitarian actors are experiencing in accessing certain areas of the Horn of Africa -"from the south of Somalia there is no real information because you can't gain access", she pointed out-, and of the need to open humanitarian corridors which would allow aid to arrive.	because you can't gain access", she pointed out	(185,232)	effect	wm/concept/causal_factor/access/market_access	0.75810146	None	None	None	None	None	None			
	499	Supporting female holders ' participation in commercial and economically valuable crops can increase their cash earnings and investment on productivityenhancing technologies and tools .	cash earnings	(107,120)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_for_assets	0.7561379	wm/concept/causal_factor/economic_and_commerce/economic_activity/currency	0.7673876	wm/process/economic/depreciation	0.5200263	None	None			
	500	And whatever system you have got, you have got to try and work within that system.	got to try and work within that system	(43,81)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_for_work	0.78890365	None	None	None	None	None	None			
	500	And whatever system you have got, you have got to try and work within that system.	and work	(54,62)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/food_for_work	0.7923409	wm/concept/causal_factor/economic_and_commerce/economic_activity/livelihood	0.66497755	wm/process/	0.5189234	None	None			
	501	In response to the recent influx of forced migration due to instability in South Sudan , a `` Support Programme to the Refugee Settlements and Host Communities in Northern Uganda '' ( 10 million ) under the Regional Development and Protection Programme ( RDPP ) will scale up an on-going project in Uganda aiming to sustainably address the developmental needs of South Sudanese refugees and host communities in Northern Uganda .	instability	(60,71)	cause	wm/concept/causal_factor/food_insecurity/food_instability	0.74700004	wm/concept/causal_factor/social_and_political/physical_insecurity	0.7297441	wm/process/conflict/	0.5260135	wm/property/stability	1.0			
	501	In response to the recent influx of forced migration due to instability in South Sudan , a `` Support Programme to the Refugee Settlements and Host Communities in Northern Uganda '' ( 10 million ) under the Regional Development and Protection Programme ( RDPP ) will scale up an on-going project in Uganda aiming to sustainably address the developmental needs of South Sudanese refugees and host communities in Northern Uganda .	recent influx of forced migration	(19,52)	effect	wm/concept/causal_factor/social_and_political/migration/human_migration	0.7440352	wm/concept/causal_factor/entity/person_and_group/migration/	1.0	wm/process/migration/	1.0	None	None			
	502	The government said the pair went to a mosque and tried to incite violence.	The government	(0,14)	cause	wm/concept/causal_factor/social_and_political/government/	1.0000002	wm/concept/causal_factor/social_and_political/government/	1.0000002	wm/process/economic/	0.6576553	None	None			
	502	The government said the pair went to a mosque and tried to incite violence.	The government said the pair went to a mosque and tried to incite violence	(0,74)	effect	wm/concept/causal_factor/social_and_political/conflict/demonstrate	0.7241142	None	None	None	None	None	None			
	503	`` I am also going to take a look at one that we just funded , an agricultural services project that helps to return displaced people to their homes .	agricultural services project	(66,95)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/development	0.7835761	wm/concept/causal_factor/intervention/provision of goods and services/provide veterinary service	0.807213	wm/process/management/development	0.67224	None	None			
	503	`` I am also going to take a look at one that we just funded , an agricultural services project that helps to return displaced people to their homes .	return displaced people to their homes	(110,148)	effect	wm/concept/causal_factor/social_and_political/migration/migration_returnees	0.74714077	wm/concept/causal_factor/entity/person_and_group/community	0.57403207	wm/process/migration/return	0.7864188	None	None			
